                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.81204,                0.79895,                 1.3161,                0.88165,                0.72899,                0.83657,                0.61886,                 0.9885,                0.84887,                 1.4936,                0.00101,                0.00101,                0.00101
                    103,                0.80642,                0.79205,                 1.3103,                0.88259,                0.71903,                0.83747,                0.61638,                 1.0012,                0.85569,                  1.504,              0.0010001,              0.0010001,              0.0010001
                    104,                0.81669,                0.78843,                 1.3178,                 0.8845,                0.72143,                0.83944,                0.61777,                0.98094,                0.84048,                 1.4823,              0.0009902,              0.0009902,              0.0009902
                    105,                0.80638,                0.78855,                 1.3122,                0.89611,                0.71254,                0.83795,                0.62145,                 1.0038,                0.84409,                 1.5026,              0.0009803,              0.0009803,              0.0009803
                    106,                0.79978,                0.77406,                 1.3017,                0.85208,                0.74783,                0.84116,                0.63465,                0.96206,                0.82554,                 1.4744,              0.0009704,              0.0009704,              0.0009704
                    107,                 0.8024,                0.77051,                  1.305,                0.87314,                0.73817,                0.84492,                0.63319,                0.95927,                0.81775,                 1.4687,              0.0009605,              0.0009605,              0.0009605
                    108,                0.81607,                 0.7936,                 1.3132,                0.84955,                0.73655,                0.83612,                0.62793,                0.98291,                0.84186,                 1.4833,              0.0009506,              0.0009506,              0.0009506
                    109,                0.79195,                0.75642,                 1.2964,                0.86574,                0.74783,                0.84378,                0.62382,                0.99716,                0.83186,                 1.5041,              0.0009407,              0.0009407,              0.0009407
                    110,                0.80765,                0.77733,                 1.3092,                0.85271,                0.75513,                0.84718,                0.63956,                0.94145,                0.80857,                 1.4484,              0.0009308,              0.0009308,              0.0009308
                    111,                0.78827,                0.74367,                 1.2931,                0.89134,                0.72319,                0.83825,                0.62766,                0.97263,                 0.8273,                 1.4661,              0.0009209,              0.0009209,              0.0009209
                    112,                0.80121,                0.76273,                 1.2914,                0.86153,                0.76642,                0.84962,                0.63461,                0.96265,                0.81346,                 1.4615,               0.000911,               0.000911,               0.000911
